stationid,stationname,stationno,lat,lon,nearbusstcnt,nearbusstno,id
2552,"명일","5호선",37.55137,127.143999,16.0,"124900068,124900047,124900046,124900045,124900009,124900008,124000436,124000435,124000259,124000258,124000156,124000155,124000124,124000123,124000122,124000121",307
2551,"굽은다리(강동구민회관앞)","5호선",37.545477,127.142853,8.0,"124000406,124000405,124000399,124000398,124000128,124000127,124000126,124000125",308
2550,"길동","5호선",37.537801,127.140004,5.0,"124000195,124000194,124000131,124000130,124000129",309
2549,"강동","5호선",37.535804,127.132481,7.0,"124000366,124000357,124000118,124000117,124000116,124000026,124000025",310
2547,"광나루(장신대)","5호선",37.545303,127.10357,14.0,"277102303,104900111,104900109,104900020,104900018,104900013,104900012,104000298,104000297,104000269,104000078,104000077,104000076,104000075",311
2546,"아차산(어린이대공원후문)","5호선",37.551691,127.089761,12.0,"104900096,104900061,104900035,104900034,104900030,104900004,104000287,104000165,104000058,104000046,104000007,104000006",312
2544,"장한평","5호선",37.56144,127.064623,8.0,"105000321,105000166,105000165,105000164,105000070,105000069,105000003,103000003",313
2543,"답십리","5호선",37.566747,127.052704,11.0,"105900046,105900045,105900044,105900043,105900026,105000115,105000114,105000072,105000001,103000119,103000001",314
2542,"마장","5호선",37.5661,127.042973,10.0,"105000455,103900247,103900246,103900203,103900189,103900170,103000169,103000019,103000018,103000017",315
2541,"왕십리(성동구청)","5호선",37.561635,127.037455,21.0,"105000472,105000456,103900281,103900187,103900186,103900172,103900154,103900118,103900116,103900115,103900085,103000293,103000292,103000277,103000276,103000190,103000036,103000035,103000034,103000014,103000013",316
2540,"행당","5호선",37.557322,127.029476,8.0,"103900123,103900121,103900108,103900105,103900038,103900032,103000177,103000176",317
2539,"신금호","5호선",37.554548,127.020331,26.0,"103900267,103900195,103900185,103900184,103900165,103900164,103900163,103900133,103900103,103900102,103900101,103900097,103900068,103900063,103900031,103900026,103900025,103900022,103000288,103000049,103000048,103000047,103000046,103000045,103000044,101900002",318
2537,"동대문역사문화공원","5호선",37.565137,127.007430666667,15.0,"161000363,161000362,101000324,101000297,101000289,101000256,101000255,101000166,101000165,101000130,101000074,101000073,101000072,101000071,101000070",319
2536,"을지로4가","5호선",37.5669735,126.9979245,10.0,"161000350,101000309,101000121,101000067,101000066,101000065,101000064,101000063,100000151,100000080",320
2535,"종로3가","5호선",37.571517,126.991314333333,12.0,"100900066,100900057,100000404,100000403,100000391,100000390,100000335,100000334,100000099,100000098,100000087,100000086",321
2534,"광화문(세종문화회관)","5호선",37.571525,126.97717,20.0,"101000316,100900176,100900175,100000412,100000402,100000385,100000384,100000378,100000374,100000361,100000330,100000178,100000175,100000174,100000095,100000034,100000031,100000030,100000025,100000023",322
2533,"서대문","5호선",37.565773,126.966641,29.0,"277102319,161000601,161000360,161000353,112900175,112900173,112900167,112900165,112900163,112900162,112900142,112900092,112900054,112900047,112900046,112900037,112000403,112000052,101900024,101000305,101000304,101000262,101000248,101000229,101000157,101000020,100900188,100900044,100000368",323
2532,"충정로(경기대입구)","5호선",37.55997,126.963639,19.0,"277102289,112900164,112900117,112900075,112900069,112900062,112900061,112900011,112000437,112000430,112000429,112000367,112000366,112000365,112000170,112000156,112000155,112000054,101000015",324
2531,"애오개","5호선",37.553736,126.95682,5.0,"277102290,113900312,113900149,113000010,113000009",325
2529,"마포","5호선",37.539574,126.945932,17.0,"113900303,113900224,113900211,113900168,113900139,113900125,113900116,113900102,113900093,113900038,113000383,113000353,113000152,113000151,113000042,113000002,113000001",326
2528,"여의나루","5호선",37.527098,126.932901,7.0,"118000613,118000609,118000604,118000504,118000075,118000055,118000054",327
2526,"신길","5호선",37.5172425,126.916352,5.0,"118000563,118000558,118000516,118000194,118000140",328
2525,"영등포시장","5호선",37.522669,126.905139,7.0,"118000530,118000468,118000464,118000037,118000036,118000035,118000019",329
2524,"영등포구청","5호선",37.524953,126.89582,8.0,"118900091,118900086,118900049,118000517,118000510,118000084,118000083,118000082",330
2523,"양평","5호선",37.509171,127.188983,0.0,,331
2522,"오목교(목동운동장앞)","5호선",37.524496,126.875181,13.0,"114900078,114900010,114000428,114000409,114000408,114000161,114000158,114000070,114000067,114000065,114000064,114000061,114000059",332
2521,"목동","5호선",37.526065,126.864931,11.0,"114900033,114000369,114000368,114000182,114000181,114000169,114000167,114000162,114000155,114000151,114000057",333
2520,"신정(은행정)","5호선",37.524997,126.856191,4.0,"114000437,114000436,114000184,114000171",334
2519,"까치산","5호선",37.531768,126.846683,15.0,"115900225,115900224,115900223,115900068,115900063,115900024,115000945,115000095,115000094,115000092,115000091,115000090,115000089,115000088,115000087",335
2518,"화곡","5호선",37.541513,126.840461,14.0,"277102167,115900177,115900176,115900036,115900028,115000638,115000604,115000111,115000110,115000109,115000108,115000107,115000051,115000049",336
2517,"우장산","5호선",37.548768,126.836318,11.0,"115900197,115900195,115900124,115900086,115900082,115000646,115000259,115000253,115000117,115000116,115000114",337
2516,"발산","5호선",37.558598,126.837668,20.0,"115900190,115900184,115900136,115900135,115900087,115900083,115000939,115000893,115000594,115000518,115000315,115000284,115000239,115000228,115000123,115000122,115000121,115000120,115000016,115000015",338
2515,"마곡","5호선",37.560183,126.825448,14.0,"115900274,115900273,115900256,115900255,115900242,115000947,115000946,115000938,115000901,115000900,115000896,115000895,115000309,115000308",339
2514,"송정","5호선",37.561184,126.811973,15.0,"115000634,115000633,115000630,115000608,115000521,115000519,115000449,115000316,115000295,115000272,115000229,115000022,115000021,115000020,115000019",340
2512,"개화산","5호선",37.572399,126.806171,4.0,"115000191,115000190,115000189,115000069",341
2511,"방화","5호선",37.577446,126.812741,12.0,"115900203,115900202,115900162,115900160,115900158,115900007,115000217,115000216,115000037,115000036,115000035,115000034",342
1958,"대화","일산선",37.676087,126.747569,9.0,"277104414,277104413,277104412,274114413,241500790,219001132,219000366,219000193,219000132",343
1957,"주엽","일산선",37.670072,126.761334,5.0,"219000526,219000481,219000480,219000363,219000189",344
1956,"정발산","일산선",37.659477,126.773359,14.0,"219514700,219513920,219513900,219513030,219513020,219001077,219001001,219001000,219000957,219000956,219000357,219000356,219000191,219000010",345
1955,"마두","일산선",37.652206,126.77762,7.0,"219514720,219514710,219001079,219001078,219000702,219000383,219000370",346
1954,"백석","일산선",37.643114,126.78787,25.0,"219900005,219514220,219514090,219514080,219514070,219514050,219514040,219514020,219514010,219513860,219513850,219001179,219001029,219001014,219001011,219001010,219000996,219000995,219000572,219000446,219000368,219000329,219000162,219000161,219000015",347
1953,"대곡","일산선",37.631626,126.811024,4.0,"218515570,218001236,218000202,218000012",348
